Judul,Keterangan
"7 Posisi dengan Gaji Paling Tinggi di Indonesia, Ada yang Sampai Rp 250 Juta!",Clickbait
BTS Bakal Comeback dengan Lagu Berbahasa Inggris Kedua yang Berjudul Butter 21 Mei Mendatang,NonClickbait
"Leicester Juara Piala FA, Kado buat Top si Pemilik Klub",NonClickbait
"Gunung Merapi Erupsi, Luncurkan Awan Panas Sejauh 1,7 Km",NonClickbait
"Disetop Sementara, Ini Sebaran Vaksin AstraZeneca Batch CTMAV547 di RI",Clickbait
Kemenkes RI Setop Sementara Vaksin Corona AstraZeneca Batch CTMAV547,NonClickbait
"Penampilan Ekstrem Lily James Jadi Pamela Anderson, Pakai Dada Palsu 34DD",NonClickbait
Penampakan Kerumunan di Pantai Pangandaran yang Masih Membeludak,NonClickbait
Penampakan Suzuki Jimny 5 Pintu yang Akan Diproduksi Tahun Depan,NonClickbait
"Perahu Terbalik di Kedung Ombo, Jasad Ibu dan Anak Kembarnya Ditemukan Berpelukan",NonClickbait
"Cat Interior dan Cat Eksterior, Apa Bedanya?",Clickbait
"Baru Lahiran Terpaksa Harus Pergi, Begini Nasib Wanita Dihamili Ayah dan Adik Kandung",Clickbait
"Proses Pematokan Lahan Tol Yogyakarta-Bawen Telah Selesai, Pemberkasan Ditarget Mei",NonClickbait
"Belajar dari Kedung Ombo Prosedur Dilanggar, Ganjar Minta Tutup Saja",NonClickbait
"Jual Rumah untuk Bantu Palestina, Trianto: Saya Tak Paham Politik, Murni Kemanusiaan",NonClickbait
"Libur Lebaran, 12.000 Orang Kunjungi Sejumlah Obyek Wisata di Banyuwangi",NonClickbait
Mengapa Cacing Mati Jika diberi Garam?,Clickbait
Pebalap Federal Oil Gresini Moto2 Pede Libas Trek Basah di Le Mans,NonClickbait
"Kesal Rumah Tak Jadi-Jadi Sudah Habis Uang Banyak, Baim Wong Kumpulkan Para Ahli",NonClickbait
"Senin, Hari Terakhir Larangan Mudik, Ini Syarat Naik Kereta Api Jarak Jauh",Clickbait
"Ada Larangan Mudik, Anda Wajib Penuhi Syarat Ini Jika Ingin Tetap Bepergian Keluar Kota",Clickbait
"110 TKA China Disebut Masuk Indonesia di Hari Pertama Lebaran, KSPI: Keadilan Tidak Ada",NonClickbait
"Pertama Kali, Biden Telepon Presiden Palestina saat Konflik Berkecamuk",NonClickbait
"Ibu dan Anak Tewas di Tempat, Motor Tiba-tiba Berbelok hingga Tertabrak Bus, Ini Kronologinya",Clickbait
"Antisipasi Puncak Arus Balik Mudik, Pos Pemeriksaan Mulai Diperketat",NonClickbait
8 Tempat Wisata yang Ditutup Imbas Membludaknya Pengunjung di Libur Lebaran,Clickbait
"Tak Kuasa Menahan Wisatawan, Pantai Anyer Ditutup hingga 31 Mei",NonClickbait
"Muncul Klaster PTM di Solo, 40 Siswa dan 6 Guru Positif Covid-19, Ini Langkah Gibran",Clickbait
"Roket-roket Gaza, Persenjataan Rakitan yang Membuat Israel Kalang Kabut",NonClickbait
"Awalnya Sangar Sampai Cekek Polisi, Preman Ini Menangis saat Ditangkap Lagi Ngumpet",Clickbait
Penjara Terbuka Terbesar di Dunia Itu Bernama Gaza,NonClickbait
"Kekuatan dan Kelemahan Iron Dome Israel, Menurut Ahli Militer",NonClickbait
Pengendara Mobil Pelat B Maki-Maki Polisi Tak Terima Diminta Putar Balik di Sukabumi,NonClickbait
"Tak Banyak, Cuma Purnawirawan Ini yang Masih Pegang Benda Langka TNI",Clickbait
"Anggota TNI Tak Terima Cukuran Disuruh Bayar Rp600 Ribu, Langsung Cari Pemiliknya",NonClickbait
"Potret Cantik Chaca Istri Dhani Wirianata, Ajudan Menhan Prabowo Subianto",Clickbait
"Israel Kembali Bombardir Gaza Sepanjang Malam, Korban Tewas Bertambah",NonClickbait
"Heboh Video Api Terbang di Banjarnegara Dikira Mistis, Eh Ternyata...",Clickbait
Polisi Ungkap Alasan Selebgram RR Live Bugil-Masturbasi di Medsos,NonClickbait
"Produknya Terancam Diboikot Buruh, Indomaret Buka Suara",NonClickbait
Kala Bantuan Mengalir bagi Mendiang Birgaldo Sinaga,NonClickbait
"Atletico-Madrid Berebut Juara di Pekan Terakhir, Barca Out!",NonClickbait
Erick Thohir Babat Semua Direksi Cucu Kimia Farma Ini Penggantinya,Clickbait
"Alisson, Kiper Keenam yang Bikin Gol di Premier League",NonClickbait
"Klasemen Liga Inggris: Liverpool Menang, Empat Besar Kian Panas",NonClickbait
"Rumah-rumah Gedong Bak Istana di Balik Perbukitan Wonogiri, Ini Profesi Warganya",Clickbait
"Maki Petugas di Pos Penyekatan Ciwandan, Wanita Ini Minta Maaf, 'Saya Sangat Menyesal'",Clickbait
"Ini Top 10 Miss Universe 2020, Wakil Indonesia Ayu Maulida Tak Masuk",Clickbait
"Ibunda Wafat Akibat COVID-19, Tompi Ungkap Situasi Miris Pandemi di Aceh",NonClickbait
"Go Public, CEO Ruangguru Belva Devara Pamer Pacar Puteri Indonesia Riau 2019",NonClickbait
"Sidak ke DPMPTSP, Ternyata Banyak ASN Bolos, Wali Kota Medan Bobby Nasution: Catat Namanya",NonClickbait
"Pesta Sabu di Hotel, 2 Perwira dan 3 Bintara Polisi di Surabaya Ditangkap",NonClickbait
"Dalang Pemotretan Bugil di Dubai Dibebaskan, Mengaku Menyesal & Ingin Menangis",NonClickbait
Salah Masuk Garasi yang Bikin Quartararo Kena Long Lap Penalty,NonClickbait
"Tingkatkan Keandalan Kelistrikan DKI Jakarta, PLN Rampungkan Proyek PLTGU Muara Karang, non",NonClickbait
"Update Corona Dunia 17 Mei: 3,3 Juta Orang Meninggal Dunia karena Covid-19",NonClickbait
"Serap KUR, Sektor Pertanian Kabupaten Wajo Diharapkan Meningkat",NonClickbait
Menkominfo: Internet Papua Akan Pulih Sepenuhnya Bulan Depan,NonClickbait
Sanksi Menanti ASN Pemkot Surabaya yang Bolos Kerja Usai Libur Lebaran,NonClickbait
"Nathalie Holscher dan Sule Silahturahmi dengan Oma Hetty, Mulai Hubungan Baru",NonClickbait
"Aturan Dirombak Jokowi, Ini Harga BBM Terkini di DKI & 33 Provinsi",Clickbait
"Mahasiswa UB Ingin Kuliah Luar Negeri? Bisa, Ini Syaratnya",Clickbait
Kakorlantas: Volume Kendaraan ke Jabodetabek Masih Normal,NonClickbait
Aksi Pejalan Kaki Injak Jok Motor yang Berhenti di Zebra Cross,NonClickbait
"Kecelakaan Maut, Siswi SMP Tewas Tertabrak Mobil, Saksi Sebut Korban Tiba-tiba Menyeberang",NonClickbait
Unik! Warung di Solo Ini Tawarkan Sensasi Makan Soto Pakai Cangkir Blirik,Clickbait
"Barcelona Gagal Juara LaLiga, Koeman Berharap Messi Bertahan",NonClickbait
Jasad Pria Ditemukan di Lahan Kosong Kemayoran,NonClickbait
"Sebelum Beli Aset Kripto, Cek Dulu Ini",Clickbait
"Disorot Media Internasional, Sejak Kapan Masjid Pakai Pengeras Suara?",Clickbait
"Deretan Hatchback Motuba Era 90-an, Dijual Mulai Rp 20 Jutaan",NonClickbait
"Rayakan Ulang Tahun ke 28, IU Donasi Rp 6,3 Miliar ke Berbagai Badan Amal",NonClickbait
"Iis Dahlia Emosi Tinggalkan Meja Juri, Penyanyi Sulis Nangis, Ustaz Turun Tangan",NonClickbait
"Destinasi Wisata Ditutup Selama Libur Lebaran, Pesisir Selatan Kehilangan PAD Rp 600 Juta",NonClickbait
"Saya Pernah Merasakan Terjangkit Covid-19, Tolong Patuhi Protokol Kesehatan",NonClickbait
Israel Temukan Lampu Minyak Pembawa Keberuntungan Berusia 1.900 Tahun,NonClickbait
Polisi Datangi Rumah Ibu yang Maki Kasar Petugas Penyekatan di Sukabumi,NonClickbait
"Viral Tulisan ""Ilmu Kudu"" di Universitas Tama Jagakarsa, Ilmu Apa Itu?",Clickbait
"Klarifikasi Rachel Vennya Setelah Kabur dari Karantina: Aku Minta Maaf, Aku Siap Terima Sanksi",NonClickbait
Duh! Indonesia Dilarang Kibarkan Bendera Merah Putih di MotoGP dan WSBK Mandalika,Clickbait
"Pejabat Kemensos Ungkap Arahan Juliari Batubara soal Pungutan Uang dari Vendor Bansos",NonClickbait
Heboh Penampakan Mitsubishi Xpander Facelift di Tengah Kabar Avanza Baru,Clickbait
Indomie Masuk dalam Daftar 10 Merek yang Paling Digemari di Dunia,NonClickbait
"Baim Wong Akhirnya Bertemu & Minta Maaf ke Kakek Suhud, Ini Potretnya",Clickbait
"Sesaat Sebelum Menikah, Pemuda Ini Ditangkap Polisi karena Tipu Wanita dan Curi Motor",Clickbait
8 Potret Selebgram Seksi yang Dapat Kado Ultah Tas Mewah dari Hotman Paris,Clickbait
"Prancis Tarik Dubes Gegara Kapal Selam, Begini Tanggapan AS",Clickbait
"Kasus Pelecehan Staf KPI Belum Kunjung Tuntas, Komnas HAM Masih Periksa 3 Pegawai",NonClickbait
Ini Penjelasan Porsi Sarapan Ideal Menurut Dosen IPB,Clickbait
Asnawi Ngomong Apa ke Faris Ramli? Sampai Dibahas Media Asing nih,Clickbait
"Xiaomi Bikin Kacamata Pintar, Apa Istimewanya?",Clickbait
5 Fakta Makan Daging Mentah dalam Islam dan Kesehatan,Clickbait
"Fokus Kembangkan SDM Terampil, Kemnaker Mulai Terapkan Dua Reformasi",NonClickbait
Ini Penampakan Dokumen Kartu Kredit Pertamina Rp 420 Miliar yang Bocor,Clickbait
Kontak Erat dengan Orang Positif COVID-19? Ini yang Harus Kamu Lakukan,Clickbait
"Wapres Ma'ruf Minta UIN Jakarta Bertransformasi Jadi PTN Berbadan Hukum",NonClickbait
Jokowi Ungkap 2 Penyebab Lonjakan Kasus Corona 2 Kali Lipat,NonClickbait
Ini Daftar Mal di Jakarta yang Menyediakan Vaksin COVID-19,Clickbait
Nekat! Bodi Innova Langsung Penyok Gara-gara Nyalip Bus Transjabodetabek di Jalur Sempit,Clickbait
"Cemburu Anang dan Ashanty Berpelukan, Arsya Hermansyah Nekat Lakukan Hal Ini",Clickbait